alert_type,source_ip,destination_ip,user,time,label
malicious_file,5.149.74.208,10.143.233.126,tara72,2025-05-08 01:49:38,high
brute_force,187.144.20.72,10.138.9.33,phillipsrhonda,2025-05-12 23:32:15,high
dns_tunneling,25.39.221.55,10.71.10.192,perryteresa,2025-05-15 18:34:33,high
brute_force,173.95.61.35,172.28.176.229,carloshopkins,2025-05-12 09:01:07,low
dns_tunneling,22.64.13.248,192.168.206.165,angela43,2025-05-13 00:17:36,medium
suspicious_login,124.27.69.240,172.21.141.79,vrobbins,2025-05-13 19:26:38,low
privilege_escalation,146.186.113.216,192.168.34.163,wjimenez,2025-05-14 12:13:53,low
privilege_escalation,158.82.211.39,172.21.18.12,kmyers,2025-05-09 09:14:29,medium
brute_force,223.50.4.18,10.66.127.98,wjimenez,2025-05-12 08:03:28,low
suspicious_login,36.222.206.59,172.27.3.201,daniel64,2025-05-14 09:57:57,low
brute_force,120.233.178.163,192.168.114.14,caseyalyssa,2025-05-15 03:37:08,low
malicious_file,93.216.22.71,172.18.156.50,melaniegibson,2025-05-11 14:25:15,low
privilege_escalation,25.56.250.253,10.35.146.5,hollylewis,2025-05-15 12:54:17,high
dns_tunneling,6.147.185.177,172.17.149.128,richard62,2025-05-14 03:31:36,medium
port_scan,27.96.27.80,172.19.230.45,vrobbins,2025-05-10 05:27:17,low
new_process,84.24.84.115,192.168.233.104,melaniegibson,2025-05-11 02:29:30,medium
port_scan,155.185.84.173,172.29.239.169,hollylewis,2025-05-12 22:50:47,low
port_scan,93.117.38.134,10.71.0.100,katherineward,2025-05-13 06:56:00,medium
dns_tunneling,107.192.15.163,192.168.210.252,caseyalyssa,2025-05-09 21:03:05,medium
malicious_file,184.91.131.38,10.221.229.68,kmyers,2025-05-15 13:30:54,high
malicious_file,218.110.139.139,172.27.41.182,racosta,2025-05-12 17:27:10,low
dns_tunneling,181.112.207.209,192.168.52.105,carloshopkins,2025-05-12 14:20:08,low
dns_tunneling,115.142.92.23,192.168.109.79,vrobbins,2025-05-12 13:13:13,low
port_scan,61.126.96.227,192.168.115.38,daniel64,2025-05-15 16:15:22,low
privilege_escalation,162.40.172.152,172.21.96.97,evangalvan,2025-05-09 10:15:50,low
new_process,102.234.148.252,10.252.64.69,vrobbins,2025-05-10 03:11:39,high
port_scan,52.58.37.110,10.235.247.180,katherineward,2025-05-15 12:07:53,low
malicious_file,178.120.153.139,192.168.52.57,perryteresa,2025-05-09 14:02:00,medium
privilege_escalation,124.202.171.31,192.168.252.248,racosta,2025-05-15 15:16:49,low
privilege_escalation,20.216.67.250,10.119.211.34,vrobbins,2025-05-10 08:36:29,medium
port_scan,65.61.214.23,192.168.90.122,daniel64,2025-05-11 11:04:12,low
malicious_file,8.203.182.16,172.28.224.49,melaniegibson,2025-05-13 00:17:52,medium
privilege_escalation,193.2.36.2,10.5.157.36,melaniegibson,2025-05-11 21:56:23,high
malicious_file,26.226.177.159,192.168.65.34,sharon75,2025-05-14 11:51:30,low
dns_tunneling,115.82.78.180,10.82.156.91,daniel64,2025-05-12 18:49:58,medium
port_scan,81.171.69.245,192.168.155.41,daniel64,2025-05-15 05:29:50,low
dns_tunneling,78.65.24.34,172.26.113.145,carloshopkins,2025-05-09 22:50:59,high
port_scan,113.228.152.213,10.221.219.59,phillipsrhonda,2025-05-13 10:27:53,low
dns_tunneling,75.5.3.108,10.211.0.100,richard62,2025-05-13 15:52:41,low
privilege_escalation,12.84.192.109,10.188.237.205,richard62,2025-05-10 19:06:36,high
malicious_file,43.0.237.136,172.28.30.8,vrobbins,2025-05-15 00:32:09,high
port_scan,133.90.146.37,192.168.144.223,carloshopkins,2025-05-14 16:41:57,low
